year,id_,indus10,polviews,racdif1,racdif2,racdif3,racdif4,workwhts,workblks,intlwhts,intlblks,marblk,marwht,letin1a,ballot
2000,1,Radio and television broadcasting and cable subscription programming,Slightly conservative,NO,NO,YES,NO,5,5,4,4,NEITHER FAVOR NOR OPPOSE,.i:  Inapplicable,.i:  Inapplicable,Ballot a
2000,2,Executive offices and legislative bodies,Conservative,.i:  Inapplicable,.i:  Inapplicable,.i:  Inapplicable,.i:  Inapplicable,.i:  Inapplicable,.i:  Inapplicable,.i:  Inapplicable,.i:  Inapplicable,.i:  Inapplicable,.i:  Inapplicable,.i:  Inapplicable,Ballot c
2000,3,.i:  Inapplicable,Conservative,NO,NO,.d:  Do not Know/Cannot Choose,.d:  Do not Know/Cannot Choose,HARDWORKING,.d:  Do not Know/Cannot Choose,INTELLIGENT,INTELLIGENT,NEITHER FAVOR NOR OPPOSE,.i:  Inapplicable,.i:  Inapplicable,Ballot b
2000,4,Veterinary services,Slightly conservative,NO,NO,YES,NO,4,4,4,4,STRONGLY FAVOR,STRONGLY FAVOR,.i:  Inapplicable,Ballot b
2000,5,Scientific research and development services,Slightly liberal,NO,NO,.n:  No answer,.n:  No answer,3,3,5,5,NEITHER FAVOR NOR OPPOSE,.n:  No answer,.i:  Inapplicable,Ballot b
2000,6,Hospitals,Slightly liberal,.i:  Inapplicable,.i:  Inapplicable,.i:  Inapplicable,.i:  Inapplicable,4,4,4,4,NEITHER FAVOR NOR OPPOSE,NEITHER FAVOR NOR OPPOSE,.i:  Inapplicable,Ballot c
2000,7,Miscellaneous retail stores,"Moderate, middle of the road",NO,NO,NO,NO,4,4,5,5,FAVOR,FAVOR,.i:  Inapplicable,Ballot a
2000,8,Real estate,Liberal,.i:  Inapplicable,.i:  Inapplicable,.i:  Inapplicable,.i:  Inapplicable,3,4,5,3,STRONGLY FAVOR,STRONGLY FAVOR,.i:  Inapplicable,Ballot c
2000,9,Computer systems design and related services,Slightly liberal,YES,NO,YES,NO,4,4,4,4,NEITHER FAVOR NOR OPPOSE,.i:  Inapplicable,.i:  Inapplicable,Ballot b
2000,10,"Accounting, tax preparation, bookkeeping, and payroll services",Extremely conservative,YES,NO,NO,YES,3,LAZY,6,3,OPPOSE,STRONGLY FAVOR,.i:  Inapplicable,Ballot b
2000,11,"Colleges and universities, including junior colleges",Slightly liberal,YES,NO,NO,NO,3,3,4,4,NEITHER FAVOR NOR OPPOSE,NEITHER FAVOR NOR OPPOSE,.i:  Inapplicable,Ballot b
2000,12,"Petroleum and petroleum products, merchant wholesalers",Conservative,.i:  Inapplicable,.i:  Inapplicable,.i:  Inapplicable,.i:  Inapplicable,.i:  Inapplicable,.i:  Inapplicable,.i:  Inapplicable,.i:  Inapplicable,.i:  Inapplicable,.i:  Inapplicable,.i:  Inapplicable,Ballot c
2000,13,Hospitals,"Moderate, middle of the road",NO,NO,NO,NO,4,5,4,4,NEITHER FAVOR NOR OPPOSE,.i:  Inapplicable,.i:  Inapplicable,Ballot a
2000,14,"Accounting, tax preparation, bookkeeping, and payroll services",Conservative,.i:  Inapplicable,.i:  Inapplicable,.i:  Inapplicable,.i:  Inapplicable,.i:  Inapplicable,.i:  Inapplicable,.i:  Inapplicable,.i:  Inapplicable,.i:  Inapplicable,.i:  Inapplicable,.i:  Inapplicable,Ballot c
2000,15,"Sporting goods, camera, and hobby and toy stores",Slightly liberal,YES,NO,YES,NO,3,3,5,5,NEITHER FAVOR NOR OPPOSE,.i:  Inapplicable,.i:  Inapplicable,Ballot b
2000,16,Sewage treatment facilities,"Moderate, middle of the road",YES,NO,NO,NO,3,4,6,5,STRONGLY FAVOR,NEITHER FAVOR NOR OPPOSE,.i:  Inapplicable,Ballot b
2000,17,Iron and steel mills and steel product manufacturing ,Extremely conservative,.i:  Inapplicable,.i:  Inapplicable,.i:  Inapplicable,.i:  Inapplicable,.i:  Inapplicable,.i:  Inapplicable,.i:  Inapplicable,.i:  Inapplicable,.i:  Inapplicable,.i:  Inapplicable,.i:  Inapplicable,Ballot c
2000,18,Industrial and miscellaneous chemicals,Slightly liberal,YES,NO,NO,NO,4,4,4,4,NEITHER FAVOR NOR OPPOSE,FAVOR,.i:  Inapplicable,Ballot b
2000,19,Waste management and remediation services,Slightly conservative,NO,YES,NO,NO,4,5,5,5,NEITHER FAVOR NOR OPPOSE,.i:  Inapplicable,.i:  Inapplicable,Ballot b
2000,20,.i:  Inapplicable,"Moderate, middle of the road",.i:  Inapplicable,.i:  Inapplicable,.i:  Inapplicable,.i:  Inapplicable,.i:  Inapplicable,.i:  Inapplicable,.i:  Inapplicable,.i:  Inapplicable,.i:  Inapplicable,.i:  Inapplicable,.i:  Inapplicable,Ballot c
2000,21,Automobile dealers,"Moderate, middle of the road",NO,NO,YES,YES,4,5,4,3,STRONGLY OPPOSE,STRONGLY FAVOR,.i:  Inapplicable,Ballot b
2000,22,Elementary and secondary schools,"Moderate, middle of the road",NO,NO,YES,NO,.d:  Do not Know/Cannot Choose,.d:  Do not Know/Cannot Choose,.d:  Do not Know/Cannot Choose,.d:  Do not Know/Cannot Choose,NEITHER FAVOR NOR OPPOSE,STRONGLY FAVOR,.i:  Inapplicable,Ballot a
2000,23,.i:  Inapplicable,Slightly liberal,NO,NO,YES,YES,3,3,5,5,NEITHER FAVOR NOR OPPOSE,.i:  Inapplicable,.i:  Inapplicable,Ballot a
2000,24,Insurance carriers and related activities,Conservative,NO,NO,NO,NO,4,4,4,4,NEITHER FAVOR NOR OPPOSE,NEITHER FAVOR NOR OPPOSE,.i:  Inapplicable,Ballot a
2000,25,.i:  Inapplicable,"Moderate, middle of the road",NO,NO,NO,YES,.d:  Do not Know/Cannot Choose,LAZY,.d:  Do not Know/Cannot Choose,.d:  Do not Know/Cannot Choose,STRONGLY OPPOSE,.i:  Inapplicable,.i:  Inapplicable,Ballot a
2000,26,Hospitals,"Moderate, middle of the road",.i:  Inapplicable,.i:  Inapplicable,.i:  Inapplicable,.i:  Inapplicable,.i:  Inapplicable,.i:  Inapplicable,.i:  Inapplicable,.i:  Inapplicable,.i:  Inapplicable,.i:  Inapplicable,.i:  Inapplicable,Ballot c
2000,27,Iron and steel mills and steel product manufacturing ,"Moderate, middle of the road",NO,NO,YES,YES,4,4,INTELLIGENT,4,STRONGLY OPPOSE,.i:  Inapplicable,.i:  Inapplicable,Ballot a
2000,28,"Community food and housing, and emergency services","Moderate, middle of the road",NO,NO,NO,.d:  Do not Know/Cannot Choose,.n:  No answer,.n:  No answer,.n:  No answer,.n:  No answer,.n:  No answer,.i:  Inapplicable,.i:  Inapplicable,Ballot b
2000,29,Executive offices and legislative bodies,"Moderate, middle of the road",NO,NO,YES,NO,HARDWORKING,3,6,5,STRONGLY OPPOSE,.i:  Inapplicable,.i:  Inapplicable,Ballot b
2000,30,.i:  Inapplicable,Liberal,.i:  Inapplicable,.i:  Inapplicable,.i:  Inapplicable,.i:  Inapplicable,.i:  Inapplicable,.i:  Inapplicable,.i:  Inapplicable,.i:  Inapplicable,.i:  Inapplicable,.i:  Inapplicable,.i:  Inapplicable,Ballot c
2000,31,Metalworking machinery manufacturing   ,"Moderate, middle of the road",YES,NO,YES,YES,4,5,6,5,FAVOR,STRONGLY FAVOR,.i:  Inapplicable,Ballot b
2000,32,Hospitals,Slightly conservative,.i:  Inapplicable,.i:  Inapplicable,.i:  Inapplicable,.i:  Inapplicable,.i:  Inapplicable,.i:  Inapplicable,.i:  Inapplicable,.i:  Inapplicable,.i:  Inapplicable,.i:  Inapplicable,.i:  Inapplicable,Ballot c
2000,33,Computer and peripheral equipment manufacturing    ,Conservative,YES,NO,YES,NO,4,4,5,4,OPPOSE,.i:  Inapplicable,.i:  Inapplicable,Ballot a
2000,34,"Drinking places, alcoholic beverages","Moderate, middle of the road",.i:  Inapplicable,.i:  Inapplicable,.i:  Inapplicable,.i:  Inapplicable,.i:  Inapplicable,.i:  Inapplicable,.i:  Inapplicable,.i:  Inapplicable,.i:  Inapplicable,.i:  Inapplicable,.i:  Inapplicable,Ballot c
2000,35,Music stores,Liberal,.i:  Inapplicable,.i:  Inapplicable,.i:  Inapplicable,.i:  Inapplicable,2,3,6,6,STRONGLY FAVOR,STRONGLY FAVOR,.i:  Inapplicable,Ballot c
2000,36,Private households,"Moderate, middle of the road",.i:  Inapplicable,.i:  Inapplicable,.i:  Inapplicable,.i:  Inapplicable,4,6,6,.d:  Do not Know/Cannot Choose,OPPOSE,.d:  Do not Know/Cannot Choose,.i:  Inapplicable,Ballot c
2000,37,Scientific research and development services,Liberal,NO,NO,YES,YES,4,4,4,4,NEITHER FAVOR NOR OPPOSE,STRONGLY FAVOR,.i:  Inapplicable,Ballot a
2000,38,"Architectural, engineering, and related services","Moderate, middle of the road",NO,NO,NO,NO,4,4,4,3,FAVOR,.i:  Inapplicable,.i:  Inapplicable,Ballot b
2000,39,"Management, scientific, and technical consulting services",Slightly conservative,.d:  Do not Know/Cannot Choose,NO,YES,NO,4,4,4,4,FAVOR,.i:  Inapplicable,.i:  Inapplicable,Ballot a
2000,40,Real estate,Slightly conservative,YES,YES,NO,NO,4,4,4,4,OPPOSE,.i:  Inapplicable,.i:  Inapplicable,Ballot b
2000,41,Individual and family services,"Moderate, middle of the road",NO,NO,NO,NO,2,2,INTELLIGENT,INTELLIGENT,FAVOR,STRONGLY FAVOR,.i:  Inapplicable,Ballot a
2000,42,"Data processing, hosting, and related services",Slightly conservative,.i:  Inapplicable,.i:  Inapplicable,.i:  Inapplicable,.i:  Inapplicable,4,5,4,3,NEITHER FAVOR NOR OPPOSE,NEITHER FAVOR NOR OPPOSE,.i:  Inapplicable,Ballot c
2000,43,Construction,Slightly conservative,.i:  Inapplicable,.i:  Inapplicable,.i:  Inapplicable,.i:  Inapplicable,.i:  Inapplicable,.i:  Inapplicable,.i:  Inapplicable,.i:  Inapplicable,.i:  Inapplicable,.i:  Inapplicable,.i:  Inapplicable,Ballot c
2000,44,Outpatient care centers,Extremely liberal,YES,NO,YES,NO,3,3,6,5,NEITHER FAVOR NOR OPPOSE,.i:  Inapplicable,.i:  Inapplicable,Ballot b
2000,45, Restaurants and other food services,Slightly conservative,YES,NO,YES,YES,4,5,5,4,FAVOR,STRONGLY FAVOR,.i:  Inapplicable,Ballot b
2000,46,Private households,Conservative,.i:  Inapplicable,.i:  Inapplicable,.i:  Inapplicable,.i:  Inapplicable,3,6,6,4,STRONGLY OPPOSE,NEITHER FAVOR NOR OPPOSE,.i:  Inapplicable,Ballot c
2000,47,Travel arrangements and reservation services,Conservative,NO,NO,YES,NO,2,3,4,4,STRONGLY OPPOSE,NEITHER FAVOR NOR OPPOSE,.i:  Inapplicable,Ballot a
2000,48,Other personal services,"Moderate, middle of the road",YES,NO,YES,NO,3,6,5,3,STRONGLY OPPOSE,STRONGLY FAVOR,.i:  Inapplicable,Ballot b
2000,49,"Data processing, hosting, and related services","Moderate, middle of the road",NO,NO,YES,NO,2,3,3,4,STRONGLY OPPOSE,.i:  Inapplicable,.i:  Inapplicable,Ballot a
2000,50,Automotive equipment rental and leasing,Slightly conservative,NO,.d:  Do not Know/Cannot Choose,YES,YES,3,4,5,4,STRONGLY OPPOSE,.i:  Inapplicable,.i:  Inapplicable,Ballot b
2000,51,Music stores,Slightly conservative,.n:  No answer,YES,NO,YES,3,5,3,5,NEITHER FAVOR NOR OPPOSE,.i:  Inapplicable,.i:  Inapplicable,Ballot b
