year,id_,indus10,polviews,racdif1,racdif2,racdif3,racdif4,workwhts,workblks,workhsps,intlwhts,intlblks,intlhsps,marblk,marhisp,marwht,letin1a
2018,320,Radio and television broadcasting and cable subscription programming,Conservative,YES,NO,YES,NO,LAZY,3,HARDWORKING,INTELLIGENT,INTELLIGENT,6,STRONGLY FAVOR,STRONGLY FAVOR,STRONGLY FAVOR,Remain the same as it is
2018,321,Offices of dentists,Conservative,.i:  Inapplicable,.i:  Inapplicable,.i:  Inapplicable,.i:  Inapplicable,.i:  Inapplicable,.i:  Inapplicable,.i:  Inapplicable,.i:  Inapplicable,.i:  Inapplicable,.i:  Inapplicable,.i:  Inapplicable,.i:  Inapplicable,.i:  Inapplicable,.i:  Inapplicable
2018,322,Taxi and limousine service,Liberal,YES,NO,YES,YES,3,2,2,6,INTELLIGENT,INTELLIGENT,FAVOR,FAVOR,FAVOR,Reduced a lot
2018,323,Crop production,.d:  Do not Know/Cannot Choose,NO,NO,.d:  Do not Know/Cannot Choose,.d:  Do not Know/Cannot Choose,4,4,98,6,INTELLIGENT,98,STRONGLY FAVOR,STRONGLY OPPOSE,STRONGLY OPPOSE,Reduced a lot
2018,350,.n:  No answer,Slightly conservative,.i:  Inapplicable,.i:  Inapplicable,.i:  Inapplicable,.i:  Inapplicable,.i:  Inapplicable,.i:  Inapplicable,.i:  Inapplicable,.i:  Inapplicable,.i:  Inapplicable,.i:  Inapplicable,.i:  Inapplicable,.i:  Inapplicable,.i:  Inapplicable,.i:  Inapplicable
2018,351,National security and international affairs,"Moderate, middle of the road",YES,NO,NO,NO,4,4,4,4,4,4,NEITHER FAVOR NOR OPPOSE,NEITHER FAVOR NOR OPPOSE,NEITHER FAVOR NOR OPPOSE,Remain the same as it is
2018,352,Home health care services,"Moderate, middle of the road",YES,NO,YES,NO,5,5,5,5,5,5,STRONGLY FAVOR,FAVOR,FAVOR,Remain the same as it is
2018,353,Computer and peripheral equipment manufacturing    ,"Moderate, middle of the road",.i:  Inapplicable,.i:  Inapplicable,.i:  Inapplicable,.i:  Inapplicable,.i:  Inapplicable,.i:  Inapplicable,.i:  Inapplicable,.i:  Inapplicable,.i:  Inapplicable,.i:  Inapplicable,.i:  Inapplicable,.i:  Inapplicable,.i:  Inapplicable,.i:  Inapplicable
2018,354,.n:  No answer,"Moderate, middle of the road",NO,NO,NO,NO,2,2,2,6,6,6,NEITHER FAVOR NOR OPPOSE,NEITHER FAVOR NOR OPPOSE,NEITHER FAVOR NOR OPPOSE,Remain the same as it is
2018,355,Public finance activities,Liberal,NO,NO,NO,NO,4,4,4,4,4,4,NEITHER FAVOR NOR OPPOSE,NEITHER FAVOR NOR OPPOSE,NEITHER FAVOR NOR OPPOSE,Increased a little
